Domain,Type,Name,Level,Duration,Topics,URL
Application Security,Repository,aws-serverless-security-workshop,medium,,"IAM, code security, data protection, infrastructure, logging",https://github.com/aws-samples/aws-serverless-security-workshop
Application Security,Repository,devsecops-cicd,medium,,"DevSecOps, CI/CD",https://github.com/aws-samples/devsecops-cicd
Application Security,Repository,cdk-devsecops-cicd-pipeline,medium,,"CDK, infrastructure as code",https://github.com/aws-samples/cdk-devsecops-cicd-pipeline
Application Security,Repository,secure-pipelines-in-aws-workshop,medium,,"CI/CD security, automation",https://github.com/aws-samples/secure-pipelines-in-aws-workshop
Application Security,Repository,generative-ai-to-build-a-devsecops-chatbot,advance,,"Gen AI, automation",https://github.com/aws-samples/generative-ai-to-build-a-devsecops-chatbot
Application Security,Repository,minimum-eks-devsecops-with-monitoring-options,advance,,"EKS, Kubernetes, monitoring",https://github.com/aws-samples/minimum-eks-devsecops-with-monitoring-options
Application Security,Repository,sample-devsecops-eks-pipeline,advance,,"EKS, pipeline automation",https://github.com/aws-samples/sample-devsecops-eks-pipeline
Application Security,Workshop,Secure Code with Amazon Q Developer,basic,2 hours,"Amazon Q, code security, vulnerability detection",https://catalog.workshops.aws/q-dev-secure-code/en-US
Application Security,Workshop,AWS Serverless Security Workshop,basic,4 hours,"Lambda, API Gateway, RDS Aurora security",https://github.com/aws-samples/aws-serverless-security-workshop
Application Security,Workshop,Secure Pipelines in AWS Workshop,basic,3 hours,Pipeline security automation,https://github.com/aws-samples/secure-pipelines-in-aws-workshop
Application Security,Workshop,"Cloud DevSecOps with Hashicorp, Palo Alto Networks & AWS",basic,2 hours,"Terraform, DevSecOps, IaC security",https://catalog.us-east-1.prod.workshops.aws/workshops/e31afbdf-ee40-41fa-a6c9-6ba2cb55fc1e
Application Security,Workshop,Security for Developers,medium,3 hours,"Secure coding, DevSecOps, Application Security",https://catalog.workshops.aws/sec4devs/en-US
Application Security,Workshop,Serverless Security Workshop (builder.aws),medium,3 hours,"Securing serverless applications with AWS Lambda, Amazon API Gateway, and RDS Aurora",https://catalog.workshops.aws/workshops/026f84fd-f589-4a59-a4d1-81dc543fcd30
Application Security,Workshop,Terraform CI/CD and Testing on AWS,medium,3 hours,"Terraform testing, security tests",https://catalog.workshops.aws/terraform-cicd-on-aws
Application Security,Workshop,Control Design Workshop,medium,3 hours,"Security controls, KMS, Config, Systems Manager",https://catalog.workshops.aws/control-design
Application Security,Workshop,CI/CD on AWS Workshop,medium,4 hours,"Secure CI/CD pipelines, continuous integration, continuous deployment, continuous delivery",https://catalog.workshops.aws/workshops/40f6bef0-35e1-4aeb-8359-1584d37d916b
Application Security,Workshop,Amazon SageMaker Studio Secure Data Science Workshop,medium,4 hours,"SageMaker security, ML security",https://github.com/aws-samples/amazon-sagemaker-studio-secure-data-science-workshop
Application Security,Workshop,Enhance Security in Machine Learning Workflows,medium,2 hours,"ML security, data protection",https://catalog.us-east-1.prod.workshops.aws/workshops/578da574-492d-439f-8f20-f14a782e3701
Data Protection,Repository,busy-engineers-document-bucket,medium,,"Client-side encryption, encryption SDK",https://github.com/aws-samples/busy-engineers-document-bucket
